Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
4f083ce3-f12b-bb4b-7353-e17f0cd55b0a,1998-06-08,,999-78-6352,S99924521,X42024574X,Mr.,Ezekiel373,Leslie90,Walter473,,,,white,nonhispanic,M,Onset  Massachusetts  US,332 Schulist Underpass,Watertown,Massachusetts,Middlesex County,25017,02472,42.32131597857709,-71.14289090408015,67187.24,1269.00,141031
aee7bbe1-0c45-c028-1e62-1f4cdb30c273,2010-05-19,,999-21-5544,,,,Wilfredo622,Isaiah615,Fritsch593,,,,white,nonhispanic,M,New Bedford  Massachusetts  US,265 Schamberger Rapid Unit 70,Whitman,Massachusetts,Plymouth County,,00000,42.095113614046355,-70.96780531615718,52600.02,10274.13,102779
46ee9d82-b52c-856d-069b-5064ff052225,1995-11-13,,999-44-2741,S99939437,X40931839X,Mrs.,Shalanda398,Kelsie51,Stamm704,,Terry864,M,white,nonhispanic,F,Marlborough  Massachusetts  US,925 Brown Annex,Lowell,Massachusetts,Middlesex County,25017,01854,42.62405815858057,-71.29962328132608,113101.08,84379.93,124612
5e688e99-61b3-5c88-3f60-21df8aaced27,2009-06-24,,999-87-5260,S99950060,,,Wallace647,Raymond398,Effertz744,,,,native,nonhispanic,M,Southwick  Massachusetts  US,788 Hansen Skyway,Revere,Massachusetts,Suffolk County,25025,02151,42.42585246178816,-70.94822090106521,2450.05,44596.84,22038
46976cf7-b0bf-be20-39a5-9f425a52886d,2007-02-08,,999-37-5783,S99998241,,Ms.,Lindsay928,Deja232,Zieme486,,,,white,nonhispanic,F,Toulouse  Occitanie  FR,794 Dicki Neck Unit 4,Worcester,Massachusetts,Worcester County,25027,01607,42.29589656519802,-71.86071035579968,46052.75,369.27,95959
aa616abe-1761-0c9a-7959-07544679dafd,1958-04-10,,999-83-4774,S99999455,X74164375X,Ms.,Jona712,Bonnie873,Robel940,,,S,asian,nonhispanic,F,Hanoi  Hà Đông  VN,997 Grant Row Unit 85,Peabody,Massachusetts,Essex County,25009,01960,42.52301776095647,-71.05524780399834,886960.93,538453.87,81174
76b20010-c318-5754-8c85-983aa538522f,2017-08-13,,999-62-9324,,,,Jody426,Jeffrey461,Hickle134,,,,white,nonhispanic,M,Charlton  Massachusetts  US,368 Marquardt Highlands,Newburyport,Massachusetts,Essex County,25009,01950,42.81308052119067,-70.83892862887681,14241.47,10614.42,878354
c86c400e-ff88-a1e3-2e23-caa4d8311f47,1946-07-27,1976-09-11,999-14-5114,S99990467,X69925196X,Mr.,Cristobal567,Alfredo17,Montero62,,,M,white,hispanic,M,Santo Domingo  National District  DO,479 Haag Camp,Saugus,Massachusetts,Essex County,25009,01906,42.433320618228656,-70.96440007767636,96927.36,11332.31,109315
2d68ad16-268a-478c-1f84-d0f1976e1a46,2019-07-18,,999-71-2318,,,,Mauro926,Isaias604,Braun514,,,,white,nonhispanic,M,Danvers  Massachusetts  US,686 Hilpert Annex,Quincy,Massachusetts,Norfolk County,25021,02186,42.25937201985332,-71.01258393031146,11394.17,0.00,103247
eb5910f1-26e6-bc6f-b300-716eae678d6f,1994-09-19,,999-20-9963,S99971292,X33791502X,Mrs.,Larissa293,Jackeline690,Simonis280,,Bins636,M,white,nonhispanic,F,Revere  Massachusetts  US,861 Swift Lock,Haverhill,Massachusetts,Essex County,25009,01832,42.84610565164186,-71.046128370516,192947.96,355405.26,47596
6fbddf55-7096-b883-7cd3-260f27953080,1980-11-24,,999-94-1171,S99978960,X73547667X,Mrs.,Clarinda196,Serena400,Rolfson709,,Mayert710,M,white,nonhispanic,F,Southwick  Massachusetts  US,205 Doyle Parade,Burlington,Massachusetts,Middlesex County,25017,01730,42.50650523065799,-71.21144047274721,47418.27,1341591.10,18417
62f60bdb-cc5c-8305-b98b-f2b229a55eca,1975-03-18,,999-12-9859,S99969228,X2669421X,Ms.,Angel97,Rocio28,Luettgen772,,,S,white,nonhispanic,F,Rehoboth  Massachusetts  US,120 Collins Path Suite 22,Fall River,Massachusetts,Bristol County,25005,02790,41.695915023588334,-71.14174870097861,701189.02,568478.91,74269
bff9d9d5-ee3d-d852-9c67-36d8361a4a4a,1944-06-23,,999-45-1987,S99914644,X63909065X,Mr.,Rosario163,,Ortiz186,,,S,asian,nonhispanic,M,Ludlow  Massachusetts  US,438 Schowalter Bypass,Needham,Massachusetts,Norfolk County,25021,02494,42.24438127173491,-71.28164193392622,168399.90,337642.13,179146
982750f4-569b-5949-196b-60699bdda3fb,1986-04-07,,999-41-6411,S99976992,X85134600X,Mrs.,Dwana281,Zora492,Daniel959,,Schuppe920,M,white,nonhispanic,F,Scituate  Massachusetts  US,864 Wisozk Skyway Suite 4,Lowell,Massachusetts,Middlesex County,25017,01851,42.66502947266086,-71.34409739443451,369037.30,570676.89,51919
2c167999-289d-95fa-5c27-7d8b8d35348c,1973-06-08,2023-07-16,999-81-3939,S99923957,X42226961X,Mr.,Eliseo499,Laverne101,Nader710,,,M,white,nonhispanic,M,Lowell  Massachusetts  US,257 Wiza Forge Suite 31,Revere,Massachusetts,Suffolk County,25025,02151,42.42403681433789,-70.99809615810418,89288.43,17047.18,28811
d369e23c-ba83-d853-1d14-a6950d215350,1946-07-27,,999-84-4391,S99958512,X87274653X,Mr.,Lucas404,Luis Miguel102,Olivera810,,,M,white,hispanic,M,Bogota  Bogota  CO,804 Gottlieb Branch,Saugus,Massachusetts,Essex County,25009,01906,42.47472567048199,-71.04996905758402,187031.27,271690.92,109315
d3727ff2-5d7b-347f-d78c-edc4323cf890,2008-11-12,,999-94-4285,S99961883,,,Eunice461,Diann220,Fay398,,,,black,nonhispanic,F,Weymouth  Massachusetts  US,777 Bosco Union Suite 34,Boston,Massachusetts,Suffolk County,25025,02108,42.29039304794446,-71.16480709371824,47302.80,32042.67,56736
c053e996-a4c4-6c02-e2b6-284227156c67,2023-02-08,,999-10-8066,,,,Sharyn437,Anette189,Hagenes547,,,,black,hispanic,F,Windsor  Massachusetts  US,663 Blick Plaza,Milford,Massachusetts,Worcester County,25027,01757,42.17459827182851,-71.55903801727968,7653.29,710.83,51905
c0a47dee-cc72-29ce-df5a-ea6d306c36a4,1986-07-20,,999-95-9468,S99940589,X46676665X,Mr.,Jonathan639,Vernon254,Carroll471,,,M,white,nonhispanic,M,Brookline  Massachusetts  US,299 Witting Vale Apt 11,Fall River,Massachusetts,Bristol County,25005,02747,41.71443190444846,-71.17965584682092,98581.94,536587.00,129734
947c82ee-1735-c9ed-8210-38cb93d8070c,2015-10-12,,999-50-9740,,,,Marcell728,Augusta206,Hammes673,,,,white,nonhispanic,F,Medfield  Massachusetts  US,350 Quigley Mill,Boston,Massachusetts,Suffolk County,25025,02131,42.27694894483813,-71.13954379177159,30162.15,0.00,107995
c321d4f5-b306-3ac4-a990-d31053c4a418,1973-06-08,,999-42-7332,S99926403,X19530375X,Mr.,Bennett146,Otha286,Kohler843,,,M,white,nonhispanic,M,Beverly  Massachusetts  US,190 Funk Path Unit 9,Revere,Massachusetts,Suffolk County,25025,02151,42.46472599007786,-71.00842599802881,166332.40,76031.22,28811
5ba0a3f3-32f7-02b1-ec6a-8f568923954c,1997-11-11,,999-72-6669,S99953477,X43501231X,Mr.,Faustino767,Dominic463,Langworth352,,,M,asian,nonhispanic,M,Northborough  Massachusetts  US,373 Rath Skyway,Boston,Massachusetts,Suffolk County,25025,02127,42.392627527263805,-71.10595260610019,12853.25,819019.53,11168
d15b23ed-02d5-3e28-efbd-2604425317c5,2025-10-07,,999-23-1094,,,,Ivan258,,Goodwin327,,,,white,nonhispanic,M,Lawrence  Massachusetts  US,640 Prosacco Street Suite 54,Boston,Massachusetts,Suffolk County,25025,02152,42.243413698535726,-71.0777962572229,100.00,1623.22,4255
e74367bd-7385-97dc-2c7f-251b4cd9fe29,1960-02-18,,999-21-9587,S99948929,X72651310X,Mrs.,Tennille443,Denna536,Donnelly343,,Rosenbaum794,M,white,nonhispanic,F,Greenfield  Massachusetts  US,911 Hauck Key Suite 34,Arlington,Massachusetts,Middlesex County,25017,02476,42.41678968179605,-71.12736743578557,75768.49,1747342.32,23284
080b069b-5108-46b6-ecef-6aacd3b9ef3f,1966-04-18,2020-08-17,999-85-1223,S99929008,X34925738X,Mr.,Chester802,Richie600,Aufderhar910,,,D,white,nonhispanic,M,Lynn  Massachusetts  US,314 Robel Quay,Wareham,Massachusetts,Plymouth County,,00000,41.806103226129906,-70.67818221486861,18015.06,222109.36,23280
922fb35e-148d-9e82-7e65-bfa05e3b3515,1986-05-14,,999-74-7973,S99914251,X79857784X,Mrs.,Agnes294,Laree109,Daniel959,,Muller251,M,white,nonhispanic,F,Newburyport  Massachusetts  US,324 Reinger Highlands Apt 29,Grafton,Massachusetts,Worcester County,,00000,42.2478081602492,-71.65074972716741,207432.42,931812.88,149894
f95a6723-14a5-c4b6-78df-fa97f7ab361c,1986-01-16,,999-46-9505,S99997178,X35455618X,Ms.,Roxann426,,Bosco882,,,S,white,nonhispanic,F,Springfield  Massachusetts  US,632 Halvorson Rapid Apt 32,Mansfield,Massachusetts,Bristol County,,00000,42.05025821414531,-71.26530895738023,42690.47,1699249.59,696664
6aed9210-c500-4375-b0fc-3374c40b8591,1964-12-02,,999-77-1968,S99925962,X9402091X,Mr.,Lyman173,,Runte676,,,M,white,nonhispanic,M,Quincy  Massachusetts  US,784 Strosin Hollow,Yarmouth,Massachusetts,Barnstable County,,00000,41.65904472422945,-70.27041725336747,197670.57,48140.85,42610
ba419d35-0dfe-8af7-347c-eebf02485a56,1925-02-12,,999-49-6110,S99996907,X23413687X,Mrs.,Corie618,Sofia418,Bergnaum523,,Jast432,M,white,nonhispanic,F,Chelmsford  Massachusetts  US,1028 Hoeger Crossroad,Franklin,Massachusetts,Norfolk County,25021,02038,42.05592795971821,-71.36775579073067,70843.88,1953644.79,18756
4aaa0001-3832-cc52-e2f3-47aad08f4284,2005-07-02,,999-38-1206,S99955546,X41987884X,Mr.,Marvin195,Minh326,Weissnat378,,,,white,nonhispanic,M,Cordaville  Massachusetts  US,785 West Meadow Unit 75,Lawrence,Massachusetts,Essex County,25009,01840,42.661351921050525,-71.19375948211975,4276.69,58815.95,16471
a253e4bb-f0d4-b0a8-ed0c-a15aaf1e3c43,1966-04-18,,999-90-1584,S99913348,X80814377X,Mr.,Dudley365,Willy639,Macejkovic424,,,S,white,nonhispanic,M,Springfield  Massachusetts  US,408 Sporer Common Apt 48,Wareham,Massachusetts,Plymouth County,,00000,41.73902462658769,-70.65569910669326,11334.02,140219.74,23280
7b06ee52-df9a-8487-0be6-dff27cc7d519,2000-12-31,,999-74-6657,S99948876,X14317491X,Ms.,Ressie457,Eneida722,Nader710,,,,white,nonhispanic,F,Hamilton  Massachusetts  US,285 Weissnat Park,Attleboro,Massachusetts,Bristol County,25005,02703,41.90651572209241,-71.33004477600963,52718.85,49349.33,137480
b6a1cac9-8873-36a7-e726-4aad8a07d44d,1992-09-07,,999-64-3707,S99981898,X16313071X,Mr.,Renaldo199,,Crist667,,,M,white,nonhispanic,M,Boston  Massachusetts  US,1055 Miller Vale,Needham,Massachusetts,Norfolk County,25021,02492,42.26122529424496,-71.26130415300472,13827.62,843809.62,4325
